channel,coverage_68,depth_max_km,depth_min_km,method,posterior_std_mean,scale_label,test_set
vs,0.2137276828289032,128.0,100.0,DI-Weak,0.25400280952453613,raw,out-of-prior
rho,0.1524483859539032,128.0,100.0,DI-Weak,0.12066573649644852,raw,out-of-prior
vp,0.8114258050918579,10.0,0.0,DI-Weak,0.6825806498527527,temperature_scaled,out-of-prior
vs,0.8558105230331421,10.0,0.0,DI-Weak,0.4987131953239441,temperature_scaled,out-of-prior
rho,0.690234363079071,10.0,0.0,DI-Weak,0.19417724013328552,temperature_scaled,out-of-prior
vp,0.6209716796875,30.0,10.0,DI-Weak,1.124103307723999,temperature_scaled,out-of-prior
vs,0.6159423589706421,30.0,10.0,DI-Weak,0.7039346694946289,temperature_scaled,out-of-prior
rho,0.6134277582168579,30.0,10.0,DI-Weak,0.21663621068000793,temperature_scaled,out-of-prior
vp,0.705078125,60.0,30.0,DI-Weak,1.1227744817733765,temperature_scaled,out-of-prior
vs,0.7430827021598816,60.0,30.0,DI-Weak,0.6689154505729675,temperature_scaled,out-of-prior
rho,0.83544921875,60.0,30.0,DI-Weak,0.2777080237865448,temperature_scaled,out-of-prior
vp,0.6012207269668579,100.0,60.0,DI-Weak,1.16719651222229,temperature_scaled,out-of-prior
vs,0.6553589105606079,100.0,60.0,DI-Weak,0.6556288599967957,temperature_scaled,out-of-prior
rho,0.6892334222793579,100.0,60.0,DI-Weak,0.33378827571868896,temperature_scaled,out-of-prior
vp,0.5811592936515808,128.0,100.0,DI-Weak,1.5388565063476562,temperature_scaled,out-of-prior
vs,0.6244245171546936,128.0,100.0,DI-Weak,0.8471826314926147,temperature_scaled,out-of-prior
rho,0.6205880045890808,128.0,100.0,DI-Weak,0.4024597704410553,temperature_scaled,out-of-prior
